TIPO;SIMILARITA;PRODOTTO_A;OCCORRENZE_A;PRODOTTO_B;OCCORRENZE_B;MANTIENI;ELIMINA;NOTE;PROPOSTA;RAGIONAMENTO;CONFIDENZA
ERRORE_BATTITURA;98%;FETTUCCINE ALL'UOVO AGNESI;1;FETTUCINE ALL'UOVO AGNESI;1;FETTUCCINE ALL'UOVO AGNESI;;DA RIVEDERE MANUALMENTE;FETTUCCINE ALL'UOVO AGNESI;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;FILETTI DI ALICI DELICIOUS;1;FILETTI DI ALICI DELICIUS;1;FILETTI DI ALICI DELICIOUS;;DA RIVEDERE MANUALMENTE;FILETTI DI ALICI DELICIOUS;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;MORELLINO DI SCANSANO DOC;1;MORELLINO DI SCANSANO DOCG;1;MORELLINO DI SCANSANO DOC;;DA RIVEDERE MANUALMENTE;MORELLINO DI SCANSANO DOC;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;PATATINE CLASSICHE FINDUS;1;PATATINE CLASSICHE FINODUS;1;PATATINE CLASSICHE FINDUS;;DA RIVEDERE MANUALMENTE;PATATINE CLASSICHE FINDUS;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;PATATINE CLASSICHE FINODUS;1;PATATINE CLASSICHE FINOUS;1;PATATINE CLASSICHE FINDUS;;DA RIVEDERE MANUALMENTE;PATATINE CLASSICHE FINDUS;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;PIZZA MARGHERITA APPETAIS;1;PIZZA MARGHERITA APPETTAIS;1;PIZZA MARGHERITA APPETAIS;;DA RIVEDERE MANUALMENTE;PIZZA MARGHERITA APPETAIS;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;FOGLIA EXTRAFINE LASAGNE;1;SFOGLIA EXTRAFINE LASAGNE;1;SFOGLIA EXTRAFINE LASAGNE;;DA RIVEDERE MANUALMENTE;SFOGLIA EXTRAFINE LASAGNE;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;HIGH PROTEIN MÜESLI CAMEO;1;HIGH PROTEIN MÜSLI CAMEO;1;HIGH PROTEIN MÜESLI CAMEO;;DA RIVEDERE MANUALMENTE;HIGH PROTEIN MÜESLI CAMEO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;SORBETTO AL LIMONE FLUTE;1;SORBETTO AL LIMONE FLUTES;1;SORBETTO AL LIMONE FLUTE;;DA RIVEDERE MANUALMENTE;SORBETTO AL LIMONE FLUTE;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;STRACCHINO SENZA LATTOSIO;1;STRACCHINO SENZA LATTOSO;1;STRACCHINO SENZA LATTOSIO;;DA RIVEDERE MANUALMENTE;STRACCHINO SENZA LATTOSIO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;EXTRA POWER MILLEMACCHIE;1;EXTRA POWER MILLEMACHIE;1;EXTRA POWER MILLEMACCHIE;;DA RIVEDERE MANUALMENTE;EXTRA POWER MILLEMACCHIE;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;FETTE BISCOTTATE COLUSI;1;FETTE BISCOTTATE COLUSSI;1;FETTE BISCOTTATE COLUSSI;;DA RIVEDERE MANUALMENTE;FETTE BISCOTTATE COLUSSI;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;SUSUMANIELLO SALENTO IGT;1;SUSUMNIELLO SALENTO IGT;1;SUSUMANIELLO SALENTO IGT;;DA RIVEDERE MANUALMENTE;SUSUMANIELLO SALENTO IGT;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;TRECCIA CREMA PASTICCERIA E GOCCE DI CIOCCOLATO;1;TRECCIA CREMA PASTICCIERA E GOCCE DI CIOCCOLATO;1;TRECCIA CREMA PASTICCIERA E GOCCE DI CIOCCOLATO;;DA RIVEDERE MANUALMENTE;TRECCIA CREMA PASTICCIERA E GOCCE DI CIOCCOLATO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;VERDURE PEPERIZIA PONTI;1;VERDURE PEPERLIZIA PONTI;1;VERDURE PEPERLIZIA PONTI;;DA RIVEDERE MANUALMENTE;VERDURE PEPERLIZIA PONTI;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;VINO SPUMANTE BRUT ROSÉ;1;VINO SPUMANTE BRUTÉ ROSÉ;1;VINO SPUMANTE BRUT ROSÉ;;DA RIVEDERE MANUALMENTE;VINO SPUMANTE BRUT ROSÉ;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;VASCHETTA IN ALLUMINIO CON COPERCHIO DOMPO PAK;1;VASCHETTA IN ALLUMINIO CON COPPERCHIO DOMO PAK;1;VASCHETTA IN ALLUMINIO CON COPPERCHIO DOMO PAK;;DA RIVEDERE MANUALMENTE;VASCHETTA IN ALLUMINIO CON COPPERCHIO DOMO PAK;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;COZZE CILENE SGUESCIATE;1;COZZE CILENE SGUSCIATE;1;COZZE CILENE SGUSCIATE;;DA RIVEDERE MANUALMENTE;COZZE CILENE SGUSCIATE;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;DESSERT CHOCO ESPRESSO;1;DESSERT CHOCO, ESPRESSO;1;DESSERT CHOCO ESPRESSO;;DA RIVEDERE MANUALMENTE;DESSERT CHOCO ESPRESSO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;DETERSIVO PIATTI HELEN;1;DETERSIVO PIATTI HELSEN;1;DETERSIVO PIATTI HELSEN;;DA RIVEDERE MANUALMENTE;DETERSIVO PIATTI HELSEN;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;GORGONZOLA DOP PICANTE;1;GORGONZOLA DOP PICCANTE;1;GORGONZOLA DOP PICCANTE;;DA RIVEDERE MANUALMENTE;GORGONZOLA DOP PICCANTE;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;INSALATA MISTA MIDOORTO;1;INSALATA MISTA MIOORTO;1;INSALATA MISTA MIOORTO;;DA RIVEDERE MANUALMENTE;INSALATA MISTA MIOORTO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;INSALATA MISTA MIOGORTO;1;INSALATA MISTA MIOORTO;1;INSALATA MISTA MIOORTO;;DA RIVISIONE MANUALE;INSALATA MISTA MIOORTO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;PASTA DI SEMOLA VOELLO;1;PASTA DI SEMOLA VOIELLO;1;PASTA DI SEMOLA VOIELLO;;DA RIVEDERE MANUALMENTE;PASTA DI SEMOLA VOIELLO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;SCOPA TONKITA DUAL ARIK;1;SCOPA TONKITA DUAL ARIX;1;SCOPA TONKITA DUAL ARIX;;DA RIVEDERE MANUALMENTE;SCOPA TONKITA DUAL ARIX;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;AMMORBIDENTE CONCENTRATO PUMA DI SCAMPAGNA;1;AMMORBIDENTE CONCENTRATO SPUMA DI SCIAMPAGNA;1;AMMORBIDENTE CONCENTRATO SPUMA DI SCIAMPAGNA;;DA RIVEDERE MANUALMENTE;AMMORBIDENTE CONCENTRATO SPUMA DI SCIAMPAGNA;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;ASCIUGATUTO CHRISTMAS;1;ASCIUGATUTTO CHRISTMAS;1;ASCIUGATUTTO CHRISTMAS;;DA RIVEDERE MANUALMENTE;ASCIUGATUTTO CHRISTMAS;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;BAIOCCHI MULINO BIANCO;1;BAIOCCI MULINO BIANCO;1;BAIOCCHI MULINO BIANCO;;BAIOCCHI è il nome corretto;BAIOCCHI MULINO BIANCO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;BAIOCCHI MULINO BIANCO;1;BAIOCHI MULINO BIANCO;1;BAIOCCHI MULINO BIANCO;;DA RIVEDERE MANUALMENTE;BAIOCCHI MULINO BIANCO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;FIOCCHI DI LATTE ALPI;1;FIOCCHI DI LATTE ALPLI;1;FIOCCHI DI LATTE ALPI;;DA RIVEDERE MANUALMENTE;FIOCCHI DI LATTE ALPI;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;HIGH PROTEIN ALPL PRO;1;HIGH PROTEIN ALPLI PRO;1;HIGH PROTEIN ALPL PRO;;DA RIVEDERE MANUALMENTE;HIGH PROTEIN ALPL PRO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;INSALATA MISTA MIOORTO;1;INSALATA MISTA MIORTO;1;INSALATA MISTA MIOORTO;;DA RIVEDERE MANUALMENTE;INSALATA MISTA MIOORTO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;PIATTO PIZZA MELAMINA;1;PIATTO PIZZA MELAMMINA;1;PIATTO PIZZA MELAMINA;;DA RIVEDERE MANUALMENTE;PIATTO PIZZA MELAMINA;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;4 BISTECCHINE DI MARE;1;4 BISTECHINE DI MARE;1;4 BISTECCHINE DI MARE;;DA RIVEDERE MANUALMENTE;4 BISTECCHINE DI MARE;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;ASCIUGATTO CHRISTMAS;1;ASCIUGATUTO CHRISTMAS;1;ASCIUGATUTTO CHRISTMAS;;DA RIVEDERE MANUALMENTE;ASCIUGATUTTO CHRISTMAS;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;GHIACCIOLI ASSORTITI;1;GHIACCIOLLI ASSORTITI;1;GHIACCIOLI ASSORTITI;;DA RIVEDERE MANUALMENTE;GHIACCIOLI ASSORTITI;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;PAN PIUMA ARTEBIANCA;1;PAN PIUMA ARTEBIANCHA;1;PAN PIUMA ARTEBIANCA;;DA RIVEDERE MANUALMENTE;PAN PIUMA ARTEBIANCA;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;PASTA FRESCA SEFOGLIA;1;PASTA FRESCA SFOGLIA;1;PASTA FRESCA SFOGLIA;;DA RIVEDERE MANUALMENTE;PASTA FRESCA SFOGLIA;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;PIADINA ROMAGNOLA IGP;1;PIADINA ROMANOLA IGP;1;PIADINA ROMAGNOLA IGP;;DA RIVEDERE MANUALMENTE;PIADINA ROMAGNOLA IGP;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;SFILACCI DI BRESAOLA;1;SFILACCI DI BRESSAOLA;1;SFILACCI DI BRESAOLA;;DA RIVEDERE MANUALMENTE;SFILACCI DI BRESAOLA;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;STELI GUSTOSI MIOORTO;1;STELI GUSTOSI MIORTO;1;STELI GUSTOSI MIOORTO;;DA RIVEDERE MANUALMENTE;STELI GUSTOSI MIOORTO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;98%;WAFER CLASSIC LOACKER;1;WAFER CLASSIC LOCKER;1;WAFER CLASSIC LOACKER;;DA RIVEDERE MANUALMENTE;WAFER CLASSIC LOACKER;GIA COMPILATO;ALTA
ERRORE_BATTITURA;97%;BABI MUFFIN CLASSIC;1;BABI MUFFIN CLASSICO;1;BABI MUFFIN CLASSICO;;DA RIVEDERE MANUALMENTE;BABI MUFFIN CLASSICO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;97%;CRACKER GRAN PAVESI;1;CRACKERS GRAN PAVESI;1;CRACKERS GRAN PAVESI;;DA RIVEDERE MANUALMENTE;CRACKERS GRAN PAVESI;GIA COMPILATO;ALTA
ERRORE_BATTITURA;97%;HIGH PROTEIN STUFER;1;HIGH PROTEIN STUFFER;1;HIGH PROTEIN STUFFER;;DA RIVEDERE MANUALMENTE;HIGH PROTEIN STUFFER;GIA COMPILATO;ALTA
ERRORE_BATTITURA;97%;MANZO COTTO SENFTER;1;MANZO COTTO SENIFTER;1;MANZO COTTO SENFTER;;DA RIVEDERE MANUALMENTE;MANZO COTTO SENFTER;GIA COMPILATO;ALTA
ERRORE_BATTITURA;97%;MIELE MILLEFIORI APICOLTURA CASENTINESE;1;MIELE MILLEFIORI APICULTURA CASENTINESE;1;MIELE MILLEFIORI APICOLTURA CASENTINESE;;DA RIVEDERE MANUALMENTE;MIELE MILLEFIORI APICOLTURA CASENTINESE;GIA COMPILATO;ALTA
ERRORE_BATTITURA;97%;PATATINE CASERECCHIA;1;PATATINE CASERECCIA;1;PATATINE CASERECCIA;;DA RIVEDERE MANUALMENTE;PATATINE CASERECCIA;GIA COMPILATO;ALTA
ERRORE_BATTITURA;97%;PIATTI GRECI JUI-SI;1;PIATTI GRECI JUI-SUI;1;PIATTI GRECI JUI-SI;;DA RIVEDERE MANUALMENTE;PIATTI GRECI JUI-SI;GIA COMPILATO;ALTA
ERRORE_BATTITURA;97%;POWER ACTIV BREF WC;1;POWER ACTIVE BREF WC;1;POWER ACTIVE BREF WC;;DA RIVEDERE MANUALMENTE;POWER ACTIVE BREF WC;GIA COMPILATO;ALTA
ERRORE_BATTITURA;97%;SALVETTE BABY FRESH;1;SALVIETTE BABY FRESH;1;SALVIETTE BABY FRESH;;DA RIVEDERE MANUALMENTE;SALVIETTE BABY FRESH;GIA COMPILATO;ALTA
ERRORE_BATTITURA;97%;SCIROPPO D'AGAVE BIO;1;SIROPPO D'AGAVE BIO;1;SCIROPPO D'AGAVE BIO;;DA RIVEDERE MANUALMENTE;SCIROPPO D'AGAVE BIO;GIA COMPILATO;ALTA
ERRORE_BATTITURA;97%;SUCCO DI FRUTTA BIO;1;SUICCO DI FRUTTA BIO;1;SUCCO DI FRUTTA BIO;;DA RIVEDERE MANUALMENTE;SUCCO DI FRUTTA BIO;GIA COMPILATO;ALTA
