nome_prodotto,quantita,categoria,inizio_promozione,fine_promozione
CRODINO,100ML,BEVANDE,2026-03-24,2026-04-06
CRODINO CLASSICO,100MLX10,BEVANDE,2025-08-12,2025-08-25
DOLCETTO D'ACQUI DOC,750ML,BEVANDE,2025-10-07,2025-10-20
DOLCETTO D'ALBA DOC,750ML,BEVANDE,2025-10-21,2025-11-03
DOLCETTO DEL MONFERRATO DOC,750ML,BEVANDE,2025-12-16,2025-12-31
DOLCETTO DI OVADA DOC,750ML,BEVANDE,2026-01-02,2026-01-12
DRINK IN LATTINA,250ML,BEVANDE,2023-12-19,2023-12-31
DRINK IN LATTINA GUSTI ASSORTITI,250ML,BEVANDE,2024-04-16,2024-04-22
ENERGY ACTIVATOR LEMONSODA,500ML,BEVANDE,2024-05-07,2024-05-20
ENERGY DRINK,250ML,BEVANDE,2025-03-11,2025-03-24
ENERGY DRINK CLASSICO,250ML,BEVANDE,2026-06-02,2026-06-15
ENERGY DRINK CRAZY TIGER,500ML,BEVANDE,2025-09-23,2025-10-06
ENERGY DRINK LEMONSODA,330ML,BEVANDE,2024-09-10,2024-09-23
ENERGY DRINK MONSTER,500ML,BEVANDE,2024-09-10,2024-09-23
ENERGY DRINK RED BULL CLASSICA,250ML,BEVANDE,2026-05-19,2026-06-01
ENERGY DRINK RED BULL GUSTI ASSORTITI,250ML,BEVANDE,2024-07-16,2024-07-29
ENERGY LEMONSODA,500ML,BEVANDE,2025-07-01,2025-07-14
ENERGY MONSTER,500ML,BEVANDE,2026-04-21,2026-05-04
ERBALUCE DI CALUSO DOCG,750ML,BEVANDE,2024-06-04,2024-06-17
ESTATHE,1.5LT,BEVANDE,2025-07-15,2025-07-28
ESTATHÉ LIMONE PESCA,1.5LT,BEVANDE,2024-07-16,2024-07-29
ESTATHÉ PESCA,350G,BEVANDE,2026-05-19,2026-06-01
ESTATHÉ ZERO,1.5LT,BEVANDE,2026-05-05,2026-05-18
FALANGHINA BENEVENTANO IGT,750ML,BEVANDE,2025-10-07,2025-10-20
FANTA,1.5LT,BEVANDE,2025-11-04,2025-11-17
FANTA ARANCIATA,1.75LT,BEVANDE,2025-03-25,2025-04-07
FANTA ORIGINAL,1.5LT,BEVANDE,2026-02-24,2026-03-09
FRIOL,1LT,BEVANDE,2025-12-16,2025-12-31
FRULLATO 100% FRUTTA NIPYOL,85G,BEVANDE,2026-05-19,2026-06-01
FUZE TEA,1.25LT,BEVANDE,2026-04-07,2026-04-20
GAVI DOCG,750ML,BEVANDE,2026-05-05,2026-05-18
GHIACCIOLLI,750G,BEVANDE,2024-07-30,2024-08-12
